OBSDATE OBSNUM OBSID INST LOFREQ SOURCE MOLECULE LINE MODE BANDWIDTH SIDEBAND TAU ELEVATION INTEGINT PEAK L_BOUND H_BOUND
2008-11-01T09:46:47 27 acsis_00027_20081101T094647_1 HARP 340.860 W3(OH) CO 3-2 pssw 1000MHzx2048 USB 0.098 47.8 251.0 22.1 -80 0
2008-08-18T13:15:30 67 acsis_00067_20080818T131530_1 HARP 335.015 W3(OH) C18O 3-2 pssw 250MHzx4096 LSB 0.041 44.2 38.1 7.55 -80 -20
2007-09-02T11:12:24 46 acsis_00046_20070902T111224_1 HARP 335.665 W3(OH) 13CO 3-2 pssw 250MHzx8192 LSB 0.103 38.7 92.2 16.0 -80 -20
2007-12-16T04:55:21 09 acsis_00009_20071216T045521_1 HARP 347.928 W3(OH) CS 7-6 pssw 250MHzx8192 LSB 0.116 41.9 36.2 6.9 -80 -20
2007-12-15T05:56:45 12 acsis_00012_20071215T055645_1 HARP 351.782 W3(OH) HCO+v=0 4-3 pssw 250MHzx8192 USB 0.058 45.8 72.9 10.0 -80 0
2008-02-20T06:02:10 07 acsis_00007_20080220T060210_1 HARP 357.769 W3(OH) H2CO 505-404 pssw 1000MHzx2048 USB 0.031 36.5 26.3 4.07 -80 -20
2007-08-23T15:35:09 95 acsis_00095_20070823T153509_1 HARP 340.809 L1551IRS5 CO 3-2 pssw 250MHzx8192 USB 0.092 72.4 48.6 9.7 -40 50
2008-08-08T13:25:19 63 acsis_00063_20080808T132519_1 HARP 340.843 CRL618 CO 3-2 chop 1000MHzx2048 USB 0.07 29.3 176.0 5.06  -150 100
2008-03-01T04:33:56 24 acsis_00024_20080301T043356_1 HARP 349.488 CRL618 HCN 4-3 chop 1000MHzx2048 USB 0.061 73.6 83.3 1.72 -150 100
2007-09-18T14:13:22 48 acsis_00048_20070918T141322_1 HARP 340.794 OMC1 CO 3-2 pssw 1000MHzx2048 USB 0.089 52.4 3180.0 91.0 -80 100
2008-12-21T06:45:54 15 acsis_00015_20081221T064554_1 HARP 357.699 OMC1 H2CO 505-404 pssw 1000MHzx2048 USB 0.062 37.1 345.0 30.7 -70 50 
2008-02-23T05:02:10 06 acsis_00006_20080223T050210_1 HARP 334.880 N2071IR C18O 3-2 pssw 250MHzx4096 LSB 0.037 65.6 16.1 5.05 -30 50
2007-12-18T14:27:33 61 acsis_00061_20071218T142733_1 HARP 335.558 N2071IR 13CO 3-2 pssw 250MHzx8192 LSB 0.044 27.6 86.1 12.0 -30 50
2007-10-01T12:14:27 66 acsis_00066_20071001T121427_1 HARP 340.796 N2071IR CO 3-2 pssw 1000MHzx2048 USB 0.18 37.8 424.0 35.0 -50 70
2008-10-08T17:22:22 78 acsis_00078_20081008T172222_1 HARP 351.732 N2071IR HCO+v=0 4-3 pssw 250MHzx8192 USB 0.112 50.4 131.0 20.0 -50 70
2008-02-22T09:34:45 31 acsis_00031_20080222T093445_1 HARP 357.672 N2071IR H2CO 505-404 pssw 1000MHzx2048 USB 0.03 35.2 17.3 3.99 -30 50
2007-05-16T08:42:05 19 acsis_19_20070516T084205_1 HARP 335.576 IRC+10216 13CO 3-2 pssw 250MHzx8192 LSB 0.142 30.9 80.2 5.27 -60 20
2007-05-04T09:10:14 30 acsis_30_20070504T091014_1 HARP 347.871 IRC+10216 CS 7-6 pssw 1000MHzx2048 LSB 0.039 35.4 274.0 13.0 -60 20
2009-05-08T07:55:38 37 acsis_00037_20090508T075538_1 HARP 340.784 IRC+10216 CO 3-2 pssw 250MHzx8192 USB 0.081 48.8 744.0 34.4 -60 20
2008-05-29T05:33:37 11 acsis_00011_20080529T053337_1 HARP 349.494 IRC+10216 HCN 4-3 pssw 1000MHzx2048 USB 0.039 62.5 760.0 33.6 -60 50
2008-06-04T08:11:29 28 acsis_00028_20080604T081129_1 HARP 334.336 16293-2422 C18O 3-2 pssw 250MHzx8192 LSB 0.079 38.3 16.6 7.88 -30 30
2007-07-17T06:15:22 10 acsis_00010_20070717T061522_1 HARP 335.573 16293-2422 13CO 3-2 pssw 250MHzx8192 LSB 0.12 43.4 39.9 14.0 -30 30
2007-07-30T07:27:45 27 acsis_00027_20070730T072745_1 HARP 347.862 16293-2422 CS 7-6 pssw 1000MHzx2048 LSB 0.083 43.0 17.9 6.80 -30 30
2008-03-09T13:17:48 57 acsis_00057_20080309T131748_1 HARP 340.838 16293-2422 CO 3-2 pssw 250MHzx8192 USB 0.086 33.3 208.0 23.3 -30 60
2009-02-16T15:25:00 71 acsis_00071_20090216T152500_1 HARP 349.548 16293-2422 HCN 4-3 pssw 250MHzx8192 USB 0.175 39.2 35.2 8.83 -30 30
2007-08-12T06:33:54 41 acsis_00041_20070812T063354_1 HARP 357.710 16293-2422 H2CO 505-404 pssw 1000MHzx2048 USB 0.068 43.2 18.6 3.8 -30 30
2008-10-05T04:37:11 07 acsis_00007_20081005T043711_1 HARP 340.782 NGC6334I CO 3-2 pssw 250MHzx8192 USB 0.084 28.8 633.0 33.9 -90 70
2008-11-04T06:23:05 09 acsis_00009_20081104T062305_1 HARP 334.866 G34.3 C18O 3-2 pssw 250MHzx4096 LSB 0.118 27.2 113.0 18.3 30 90
2007-06-07T10:40:00 23 acsis_00023_20070607T104000_1 HARP 335.557 G34.3 13CO 3-2 pssw 1000MHzx2048 LSB 0.068 61.5 139.0 25.0 30 80
2008-07-31T05:51:58 07 acsis_00007_20080731T055158_1 HARP 343.351 G34.3 CH3OH 701-601 pssw 1000MHzx2048 LSB 0.088 46.2 56.3 5.22 45 95
2008-08-03T06:14:15 15 acsis_00015_20080803T061415_1 HARP 347.823 G34.3 CS 7-6 pssw 250MHzx8192 LSB 0.097 53.6 95.6 12.5 30 110
2008-10-21T06:45:19 22 acsis_00022_20081021T064519_1 HARP 340.718 G34.3 CO 3-2 pssw 250MHzx8192 USB 0.08 34.9 245.0 30.9 0 130
2007-07-20T12:49:53 35 acsis_00035_20070720T124953_1 HARP 349.450 G34.3 HCN 4-3 pssw 250MHzx8192 USB 0.061 35.8 126.0 11.0 0 130
2008-06-16T07:55:48 22 acsis_00022_20080616T075548_1 HARP 351.697 G34.3 HCO+v=0 4-3 pssw 250MHzx8192 USB 0.128 34.1 138.0 18.6 30 100
2008-02-19T17:59:04 73 acsis_00073_20080219T175904_1 HARP 357.710 G34.3 H2CO 505-404 pssw 1000MHzx2048 USB 0.014 63.9 41.6 5.28 30 100
2008-05-11T17:22:12 74 acsis_00074_20080511T172212_1 HARP 334.958 W75N C18O 3-2 pssw 250MHzx4096 LSB 0.089 58.5 69.5 14.0 -20 50
2008-07-13T11:58:02 39 acsis_00039_20080713T115802_1 HARP 335.603 W75N 13CO 3-2 pssw 250MHzx8192 LSB 0.037 66.5 191.0 25.3 -20 50
