  n    HST     RA(J2000)  Dec(J2000)   J     +/-     H     +/-     K     +/-     Ks    +/-
9101  P525-E  00:24:28.3   07:49:02  11.622 0.005  11.298 0.005  11.223 0.008  11.223 0.005
9103  S294-D  00:33:15.2  -39:24:10  10.932 0.006  10.657 0.004  10.596 0.005  10.594 0.004
9104  S754-C  01:03:15.8  -04:20:44  11.045 0.005  10.750 0.005  10.693 0.010  10.695 0.005
9105  P530-D  02:33:32.1   06:25:38  11.309 0.010  10.975 0.006  10.897 0.006  10.910 0.005
9106  S301-D  03:26:53.9  -39:50:38  12.153 0.007  11.842 0.005  11.772 0.010  11.788 0.006
9107  P247-U  03:32:03.0   37:20:40  11.934 0.005  11.610 0.004  11.492 0.011  11.503 0.005
9108  P533-D  03:41:02.4   06:56:13  11.737 0.009  11.431 0.006  11.337 0.008  11.336 0.005
9109  S055-D  04:18:18.9  -69:27:35  11.552 0.002  11.326 0.002  11.255 0.027  11.269 0.002
9111  S361-D  04:49:54.6  -35:11:17  11.246 0.006  11.031 0.006  10.992 0.033  10.980 0.006
9113  S252-D  05:10:25.6  -44:52:46  11.059 0.005  10.766 0.005  10.708 0.034  10.713 0.005
9115  S363-D  05:36:44.8  -34:46:39  12.069 0.007  11.874 0.005  11.826 0.007  11.831 0.005
9116  S840-F  05:42:32.1   00:09:04  11.426 0.009  11.148 0.009  11.077 0.014  11.058 0.008
9118  S842-E  06:22:43.7  -00:36:30  11.723 0.011  11.357 0.009  11.264 0.016  11.261 0.010
9119  S121-E  06:29:29.4  -59:39:31  12.114 0.006  11.838 0.005  11.765 0.009  11.781 0.005
9121  S255-S  06:42:36.5  -45:09:12  11.719 0.004  11.434 0.004    &     &     11.372 0.004
9122  P161-D  07:00:52.0   48:29:24  11.680 0.006  11.408 0.006  11.356 0.013  11.352 0.006
9123  S427-D  06:59:45.6  -30:13:44  10.833 0.007  10.499 0.007  10.431 0.015  10.442 0.009
9125  S005-D  07:19:38.6  -84:35:06  10.885 0.007  10.598 0.006  10.514 0.013  10.522 0.008
9126  P309-U  07:30:34.5   29:51:12  11.876 0.013  11.522 0.014    &     &     11.450 0.022
9129  S209-D  08:01:15.4  -50:19:33  10.914 0.007  10.585 0.006  10.487 0.021  10.496 0.009
9131  P035-R  08:25:43.8   73:01:18  10.819 0.008  10.546 0.007  10.499 0.010  10.515 0.008
9132  S312-T  08:25:36.1  -39:05:59  11.949 0.006  11.669 0.005  11.608 0.004  11.609 0.004
9133  S495-E  08:27:12.5  -25:08:01  11.521 0.007  11.048 0.008  10.965 0.016  10.960 0.010
9134  P545-C  08:29:25.1   05:56:08  11.881 0.007  11.624 0.005  11.575 0.005  11.596 0.006
9135  S705-D  08:36:12.5  -10:13:39  12.362 0.010  12.098 0.011    &     &     12.040 0.014
9136  S165-E  08:54:21.7  -54:48:08  12.489 0.008  12.214 0.008  12.138 0.018  12.142 0.011
9137  S372-S  09:15:50.5  -36:32:34  11.153 0.007  10.891 0.007  10.830 0.019  10.836 0.010
9138  S852-C  09:41:35.8   00:33:12  11.354 0.006  11.041 0.006  10.981 0.015  10.982 0.008
9139  P091-D  09:42:58.7   59:03:43  11.683 0.008  11.338 0.007  11.276 0.011  11.282 0.010
9140  S262-E  09:45:42.8  -45:49:40  11.409 0.011  11.085 0.008    &     &     11.022 0.012
9141  S708-D  09:48:56.4  -10:30:32  11.081 0.008  10.775 0.008  10.715 0.035  10.718 0.010
9142  P212-C  10:06:29.0   41:01:26  11.993 0.006  11.729 0.005  11.686 0.009  11.697 0.007
9143  P550-C  10:33:51.8   04:49:05  12.344 0.007  12.121 0.005  12.067 0.006  12.081 0.005
9144  S264-D  10:47:24.1  -44:34:05  11.642 0.009  11.335 0.008  11.263 0.018  11.280 0.010
9145  P064-D  12:13:12.0   64:28:56  11.958 0.009  11.711 0.008  11.664 0.011  11.675 0.009
9146  S217-D  12:01:45.2  -50:03:10  11.323 0.007  11.002 0.005  10.931 0.003  10.936 0.004
