FS   Other            RA (J2000)  Dec              I                  Z                Y(MKO)                J(MKO)               H(MKO)               K(MKO)               L'(98)              M(98)
#    Name                                   mag    sem   N     mag    sem   N     mag     sem    N     mag     sem    N     mag     sem    N      mag    sem    N     mag     sem    N     mag   sem   N 
&    HD225023     00 02 46.03 +35 48 55.7    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &      &      &      &     6.979 (0.014) [03]  6.95 (0.03) [08]
&    G158-27      00 06 43.00 -07 32 42.0    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &      &      &      &     6.989 (0.018) [04]  7.03 (0.05) [02]
101  fs2-29       00 13 43.58 +30 37 59.9    &     &     &      &     &     &      &      &      &    10.540 (0.005) [04]  10.405 (0.012) [04]  10.366 (0.016) [05]  10.34  (0.05)  [07]   &     &     &
&    HD1160       00 15 57.30 +04 15 04.0    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &      &      &      &     7.055 (0.014) [03]  7.04 (0.02) [03]
&    BRI0021      00 24 24.60 -01 58 22.0    &     &     &      &     &     &      &      &      &    11.754 (0.007) [04]  11.082 (0.011) [06]  10.500 (0.008) [06]    &      &      &     &     &     &
102  p525-e       00 24 28.50 +07 49 00.1    &     &     &      &     &     &      &      &      &    11.583 (0.013) [03]  11.273 (0.008) [03]  11.200 (0.012) [03]    &      &      &     &     &     &
&    HD3029       00 33 39.53 +20 26 01.7    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &      &      &      &     7.082 (0.014) [04]  7.04 (0.02) [03]
1    G158-100     00 33 54.48 -12 07 58.1  13.92 (0.02) [01]  13.72 (0.01)  &    13.738 (0.012) [27]  13.427 (0.006) [03]  13.059 (0.011) [03]  12.984 (0.019) [03]    &      &      &     &     &     &
103  p241-g       00 36 29.60 +37 42 54.3    &     &     &      &     &     &    12.715 (0.009) [41]  12.342 (0.011) [04]  11.840 (0.008) [06]  11.724 (0.012) [03]    &      &      &     &     &     &
2    SA92-342     00 55 09.93 +00 43 13.1  10.98 (0.01)  &    10.87 (0.01)  &      &      &      &    10.699 (0.005) [04]  10.495 (0.009) [04]  10.470 (0.009) [04]  10.44  (0.02)  [04]   &     &     &
&    S754-C       01 03 15.8  -04 20 44      &     &     &      &     &     &      &      &      &    11.008 (0.009) [04]  10.721 (0.008) [04]  10.669 (0.007) [04]    &      &      &     &     &     &
3    F11          01 04 21.63 +04 13 36.0  12.39 (0.02)  &    12.45 (0.02) [02]  12.506 (0.015) [38]  12.649 (0.009) [05]  12.739 (0.011) [04]  12.840 (0.012) [04]    &      &      &     &     &     &
104  p194-r       01 04 59.43 +41 06 30.8    &     &     &      &     &     &      &      &      &    10.503 (0.008) [06]  10.414 (0.013) [05]  10.395 (0.013) [04]  10.36  (0.03)  [03]   &     &     &
105  p527-f       01 19 08.19 +07 34 11.5    &     &     &      &     &     &      &      &      &    11.526 (0.012) [05]  11.070 (0.010) [05]  10.961 (0.007) [05]    &      &      &     &     &     &
106  p152-f       01 49 46.94 +48 37 53.2  13.34 (0.01) [02]  13.05 (0.02) [02]    &      &      &    12.466 (0.009) [03]  11.877 (0.013) [03]  11.752 (0.010) [03]    &      &      &     &     &     &
107  fs2-03       01 54 10.14 +45 50 38.0    &     &     &      &     &     &      &      &      &    10.466 (0.006) [04]  10.256 (0.011) [05]  10.224 (0.010) [04]  10.18  (0.02)  [03]   &     &     &
5    F16          01 54 34.65 -06 46 00.4  12.40 (0.01)  &      &     &     &    12.329 (0.010) [38]  12.359 (0.017) [02]  12.336 (0.011) [02]  12.349 (0.024) [03]    &      &      &     &     &     &
4    SA93-317     01 54 37.70 +00 43 00.5  10.85 (0.01)  &    10.73 (0.01)  &      &      &      &    10.538 (0.011) [05]  10.304 (0.013) [05]  10.266 (0.010) [05]    &      &      &     &     &     &
&    BS696        02 25 16.03 +56 36 35.4    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &      &      &      &      &      &      &    5.32 (0.03) [03]
6    F22          02 30 16.64 +05 15 51.1  13.04 (0.02)  &    13.06 (0.01)  &    13.192 (0.013) [66]  13.271 (0.009) [04]  13.321 (0.004) [04]  13.404 (0.009) [03]    &      &      &     &     &     &
&    P530-D       02 33 32.10 +06 25 38.0    &     &     &      &     &     &      &      &      &    11.267 (0.008) [02]  10.936 (0.007) [03]  10.878 (0.017) [03]    &      &      &     &     &     & 
7    SA94-242     02 57 21.21 +00 18 38.2  11.29 (0.01)  &    11.18 (0.01)  &      &      &      &    11.076 (0.010) [03]  10.961 (0.009) [03]  10.933 (0.006) [04]    &      &      &     &     &     &
