#BS#     name      Type       R.A.   1950  Dec.          N          Q    Notes
0337   Beta And    M0III    1 06 55.5    35 21 22      -2.04      -2.09
0617   Alpha Ari   K2III    2 04 20.9    23 13 35      -0.80      -0.85
1457   Alph Tau    K5III    4 33 02.9    16 24 37      -3.03      -3.09
1708   Alpha Aur   G5IIIe   5 12 59.5    45 56 58      -1.94      -1.93
1713   Beta Ori    B8Iae    5 14 32.2    -8 12 06       0.06      -0.3
2061   Alpha Ori   M2I      5 52 27.8     7 23 58      -5.13      -5.70    V
2216   Eta Gem     M3III    6 14 52.6   +22 30 24      -1.7       -1.9     V
2286   Mu Gem      M3IIIab  6 22 57.6   +22 30 49      -2.2       -2.3
2491   Alpha CMa   A1V      6 42 56.7   -16 38 46      -1.42      -1.36
2693   Delta Cma   F8Ia     7 08 23.4   -26 23 35       0.06        &
2943   Alpha CMi   F5IV     7 36 41       5 21 16      -0.76      -0.73
2990   Beta Gem    K0III    7 42 15.6    28 08 55      -1.24      -1.21
3748   Alpha Hya   K3III    9 25 07.7    -8 26 26      -1.44      -1.49
4069   Mu UMa      M0III   10 19 21.5    41 45 06      -1.03      -1.08
4295   Beta UMa    A1V     10 58 50.3    56 39 03       2.33       2.23
4534   Beta Leo    A3V     11 46 29.6    14 51 02       1.84       1.83
4554   Gamma UMa   A0Ve    11 51 12.9    53 58 22       2.32       2.47
4786   Beta Crv    G5II    12 34 23.2   -23 23 48       0.62       0.55
5054   Zeta UMa    AiVp    13 21 55.4    55 11 09       2.24       2.28
5340   Alpha Boo   K1III   14 13 22.8    19 26 31      -3.17      -3.13
5793   Alpha CrB   A0V     15 32 34.1    26 52 54       2.19       2.04
6134   Alpha Sco   M1.5Ib  16 26 20.2   -26 19 22      -4.54      -4.70
6406   Alpha Her   M5Ib    17 12 22.0    14 26 45      -3.94      -4.17
6705   Gamma Dra   K5III   17 55 26.5    51 29 37      -1.50      -1.56
7001   Alpha Lyr   A0V     18 35 14.7    38 44 09       0.00       0.00 
7525   Gamma Aql   K3II    19 43 52.9    10 29 24      -0.78      -0.82
8316   Mu Cep      M2I     21 41 58.5    58 33 00      -3.84      -4.59    V
8775   Beta Peg    M2.5II  23 01 20.8    27 48 40      -2.54      -2.61    V
