Name    UKIRT  RA(J2000)  Dec(J2000)   J     +/-     H     +/-     K     +/-     
AS01-0  FS02   00:55:09.9  00:43:13  10.716 0.005  10.507 0.010  10.470 0.003
AS03-0  FS03   01:04:21.6  04:13:39  12.606 0.011  12.729 0.008  12.827 0.013
AS04-1  -      01:54:43.4  00:43:59  12.371 0.021  12.033 0.020  11.962 0.025
AS05-0  FS06   02:30:16.4  05:15:52  13.232 0.009  13.314 0.007  13.381 0.010
AS05-1  -      02:30:18.6  05:16:42  14.350 0.013  13.663 0.011  13.507 0.009
AS07-0  FS07   02:57:21.2  00:18:39  11.105 0.013  10.977 0.009  10.946 0.009
AS10-0  FS11   04:52:58.9 -00:14:41  11.349 0.011  11.281 0.009  11.259 0.006
AS13-1  -      05:57:10.4  00:01:38  12.201 0.019  11.781 0.007  11.648 0.009
AS13-1  -      05:57:09.5  00:01:50  12.521 0.008  12.101 0.005  11.970 0.006
AS13-3  -      05:57:08.0  00:00:07  13.345 0.015  12.964 0.017  12.812 0.012
AS15-0  -      06:40:34.3  09:19:13  10.874 0.007  10.669 0.010  12.628 0.008
AS15-1  -      06:40:36.2  09:18:60  12.656 0.011  11.980 0.010  11.792 0.011
AS15-2  -      06:40:37.9  09:18:41  13.711 0.014  12.927 0.017  12.719 0.012
AS15-3  -      06:40:37.9  09:18:19  14.320 0.015  13.667 0.017  13.415 0.015
AS16-0  FS14   07:24:15.3 -00:32:50  14.159 0.021  14.111 0.011  13.305 0.017
AS16-1  -      07:24:14.3 -00:33:05  13.761 0.020  13.638 0.005  13.606 0.021
AS16-2  -      07:24:15.4 -00:32:49  11.411 0.010  11.428 0.017  11.445 0.008
AS16-3  -      07:24:17.2 -00:32:27  13.891 0.012  13.855 0.011  13.818 0.011
AS16-4  -      07:24:17.5 -00:33:07  11.402 0.015  11.106 0.019  11.043 0.009
AS18-0  FS15   08:51:05.8  11:43:47  12.741 0.008  12.402 0.004  12.338 0.013
AS18-1  -      08:51:03.5  11:45:03  10.769 0.024  10.614 0.014  10.575 0.014
AS19-0  FS17   08:51:19.7  11:52:11  12.670 0.014  12.334 0.013  12.263 0.004
AS19-2  -      08:51:20.2  11:52:48  12.745 0.019  12.448 0.024  12.437 0.012
AS27-0  FS24   14:40:07.0  00:01:45  10.910 0.015  10.781 0.007  10.761 0.010
AS27-1  -      14:40:07.3  00:02:23  12.991 0.015  12.677 0.024  12.608 0.019
AS29-1  -      15:38:30.6  00:14:21  13.904 0.017  13.566 0.019  13.503 0.020
AS31-0  FS28   17:44:06.8 -00:24:58  10.744 0.008  10.644 0.005  10.602 0.004
AS31-1  -      17:44:06.2 -00:24:22  12.504 0.010  12.131 0.011  12.048 0.007
AS31-2  -      17:44:06.2 -00:24:22  13.290 0.009  12.633 0.011  12.476 0.010
AS33-0  FS35   18:27:13.6  04:03:10  12.220 0.004  11.834 0.005  11.739 0.009
AS33-1  -      18:27:12.4  04:02:16  13.180 0.009  12.477 0.004  12.343 0.008
AS33-2  -      18:27:15.5  04:03:34  13.724 0.024  13.271 0.023  13.168 0.014
AS36-0  FS29   21:52:25.3  02:23:33  13.168 0.013  13.242 0.007  13.301 0.007
AS36-1  -      21:52:26.2  02:24:41  13.538 0.028  13.049 0.012  12.960 0.014
AS36-2  -      21:52:22.4  02:24:32  14.246 0.014  13.847 0.014  13.737 0.008
AS36-3  -      21:52:21.4  02:23:14  14.165 0.004  13.607 0.009  13.333 0.022
AS36-4  -      21:52:25.4  02:23:35  15.312 0.008  14.796 0.006  14.514 0.022
AS38-0  FS30   22:41:44.7  01:12:36  11.932 0.006  11.988 0.009  12.027 0.010
AS38-1  -      22:41:46.4  01:11:52  12.994 0.004  12.657 0.012  12.588 0.020
AS38-2  -      22:41:50.2  01:12:43  11.355 0.023  11.026 0.014  10.991 0.013
AS39-0  FS31   23:12:21.2  10:47:06  13.808 0.008  13.929 0.002  14.011 0.009
AS39-1  -      23:12:20.7  10:46:36  15.033 0.022  14.333 0.004  14.045 0.018
