FS   Other            RA (J2000)  Dec              I                  Z                 J(98)                H(98)                K(98)                L'(98)              M(98)
#    Name                                   mag    sem   N     mag    sem   N     mag     sem    N     mag     sem    N      mag    sem    N     mag    sem   N    mag    sem   N 
&    HD225023     00 02 46.03 +35 48 55.7    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &     6.979 (0.014) [03]  6.95 (0.03) [08]
&    G158-27      00 06 43.00 -07 32 42.0    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &     6.989 (0.018) [04]  7.03 (0.05) [02]
101  fs2-29       00 13 43.58 +30 37 59.9    &     &     &      &     &     &    10.542 (0.014) [03]  10.396 (0.009) [05]  10.369 (0.017) [05]  10.34  (0.05)  [07]   &     &     &
&    HD1160       00 15 57.30 +04 15 04.0    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &     7.055 (0.014) [03]  7.04 (0.02) [03]
&    BRI0021      00 24 24.60 -01 58 22.0    &     &     &      &     &     &    11.755 (0.016) [03]  11.089 (0.012) [04]  10.502 (0.020) [04]    &     &     &       &     &     &
102  p525-e       00 24 28.50 +07 49 00.1    &     &     &      &     &     &    11.569 (0.010) [02]  11.261 (0.009) [02]  11.201 (0.010) [02]    &     &     &       &     &     &
&    HD3029       00 33 39.53 +20 26 01.7    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &     7.082 (0.014) [04]  7.04 (0.02) [03]
1    G158-100     00 33 54.48 -12 07 58.1  13.92 (0.02) [01]  13.72 (0.01)  &    13.414 (0.008) [03]  13.063 (0.017) [03]  12.968 (0.011) [03]    &     &     &       &     &     &
103  p241-g       00 36 29.60 +37 42 54.3    &     &     &      &     &     &    12.328 (0.009) [02]  11.833 (0.007) [02]  11.722 (0.003) [02]    &     &     &       &     &     &
2    SA92-342     00 55 09.93 +00 43 13.1  10.98 (0.01)  &    10.87 (0.01)  &    10.687 (0.022) [03]  10.493 (0.014) [03]  10.462 (0.009) [04]  10.44  (0.02)  [04]   &     &     &
&    S754-C       01 03 15.8  -04 20 44      &     &     &      &     &     &    11.032 (0.000) [02]  10.728 (0.010) [02]  10.678 (0.012) [02]    &     &     &       &     &     &
3    F11          01 04 21.63 +04 13 36.0  12.39 (0.02)  &    12.45 (0.02) [02]  12.637 (0.008) [03]  12.723 (0.008) [03]  12.824 (0.006) [04]    &     &     &       &     &     &
104  p194-r       01 04 59.43 +41 06 30.8    &     &     &      &     &     &    10.487 (0.026) [04]  10.402 (0.015) [04]  10.394 (0.010) [04]  10.36  (0.03)  [03]   &     &     &
105  p527-f       01 19 08.19 +07 34 11.5    &     &     &      &     &     &    11.515 (0.005) [03]  11.057 (0.014) [04]  10.958 (0.010) [05]    &     &     &       &     &     &
106  p152-f       01 49 46.94 +48 37 53.2  13.34 (0.01) [02]  13.05 (0.02) [02]  12.462 (0.012) [02]  11.872 (0.003) [02]  11.744 (0.002) [02]    &     &     &       &     &     &
107  fs2-03       01 54 10.14 +45 50 38.0    &     &     &      &     &     &    10.457 (0.023) [05]  10.258 (0.009) [05]  10.222 (0.016) [05]  10.18  (0.02)  [03]   &     &     &
5    F16          01 54 34.65 -06 46 00.4  12.40 (0.01)  &      &     &     &    12.369 (0.006) [02]  12.336 (0.006) [03]  12.342 (0.006) [03]    &     &     &       &     &     &
4    SA93-317     01 54 37.70 +00 43 00.5  10.85 (0.01)  &    10.73 (0.01)  &    10.545 (0.012) [04]  10.311 (0.016) [04]  10.278 (0.006) [05]    &     &     &       &     &     &
&    BS696        02 25 16.03 +56 36 35.4    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &      &     &     &      5.32 (0.03) [03]
6    F22          02 30 16.64 +05 15 51.1  13.04 (0.02)  &    13.06 (0.01)  &    13.265 (0.004) [02]  13.311 (0.009) [02]  13.383 (0.009) [02]    &     &     &       &     &     &
&    P530-D       02 33 32.10 +06 25 38.0    &     &     &      &     &     &    11.264 (0.006) [03]  10.943 (0.010) [03]  10.877 (0.015) [03]    &     &     &       &     &     &      
7    SA94-242     02 57 21.21 +00 18 38.2  11.29 (0.01)  &    11.18 (0.01)  &    11.073 (0.011) [02]  10.955 (0.001) [02]  10.947 (0.003) [02]    &     &     &       &     &     &
108  fs2-04       03 01 09.85 +46 58 47.7    &     &     &      &     &     &    10.067 (0.011) [02]   9.761 (0.012) [03]   9.718 (0.008) [03]   9.65  (0.02)  [03]   &     &     &
&    HD18881      03 03 31.94 +38 24 36.1    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &     7.160 (0.014) [03]  7.17 (0.02) [03]
