# IFU Profile, measured Jan 2003 using data from 20021205 (SPT)

# ystart   yend  xshift  yshift	
    743     789      31   -0.10
    286     332      25    0.71
    628     674      26   -0.39
    400     446      24   -0.13
    514     560      22   -0.14
    457     503      -9    4.41
    571     617     -12    2.88
    343     389     -15    4.19
    686     732     -16    4.58
    229     275     -20    4.13
    800     846     -21    5.59
    114     160     -26    3.16
    914     960     -25    4.90
      0      46     -32    3.53


