# IFU Profile, measured June 2007 using data from 20070619 (BEC)

# ystart   yend  xshift  yshift	
    735     778      31  0.79207
    279     321      25  2.3754
    622     662      26  2.22079
    393     435      24  1.51202
    507     549      22  1.50661
    449     493      -9  4.99649
    563     608     -12  3.63319
    335     379     -15  4.91565
    676     721     -16  3.09628
    219     265     -20  2.83758
    792     836     -21  5.96086
    105     151     -26  2.81562
    907     949     -25  6.39511
