2:18:42.148 -5:31:51.952
2:18:20.365 -5:31:34.713
2:18:29.32 -5:31:41.23
2:18:43.777 -5:31:29.836
2:18:17.584 -5:31:16.351
2:18:48.505 -5:31:0.517
2:18:52.777 -5:30:53.232
2:18:30.513 -5:30:21.431
2:18:48.119 -5:30:36.065
2:17:47.807 -5:30:23.78
2:17:59.847 -5:30:9.492
2:17:2.801 -5:30:19.041
2:18:25.067 -5:30:7.888
2:18:34.52 -5:30:14.086
2:17:49.979 -5:30:4.576
2:17:45.912 -5:29:58.383
2:17:1.923 -5:29:26.529
2:17:20.67 -5:29:15.863
2:18:32.255 -5:28:37.384
2:18:26.379 -5:28:47.138
2:18:57.483 -5:28:36.79
2:19:3.748 -5:28:34.328
2:17:27.162 -5:28:15.419
2:17:50.587 -5:28:14.998
2:18:9.147 -5:27:57.925
2:17:58.467 -5:27:12.388
2:17:26.732 -5:26:49.913
2:18:55.155 -5:26:29.528
2:17:42.322 -5:26:10.022
2:18:14.573 -5:25:33.631
2:18:58.163 -5:25:23.003
2:17:32.136 -5:25:12.186
2:17:45.86 -5:25:4.097
2:17:21.529 -5:24:29.588
2:17:29.613 -5:24:12.206
2:18:41.093 -5:23:26.707
2:17:7.42 -5:23:14.548
2:17:10.604 -5:22:46.669
2:17:19.102 -5:22:54.571
2:18:39.297 -5:22:42.776
2:17:26.044 -5:22:34.324
2:17:50.827 -5:22:34.218
2:18:44.94 -5:22:18.98
2:18:43.434 -5:22:5.348
2:17:55.482 -5:21:24.812
2:18:16.798 -5:21:15.787
2:17:14.557 -5:21:3.142
2:19:10.204 -5:20:53.941
2:18:13.481 -5:20:35.775
2:19:1.248 -5:20:24.709
2:16:52.962 -5:19:57.105
2:18:33.163 -5:20:9.408
2:17:51.001 -5:20:5.925
2:18:31.709 -5:19:52.741
2:17:7.407 -5:19:42.964
2:17:22.152 -5:19:40.59
2:17:35.573 -5:19:32.784
2:17:40.959 -5:18:51.033
2:18:32.696 -5:18:48.933
2:17:14.844 -5:18:36.904
2:17:29.43 -5:18:37.077
2:17:40.192 -5:18:19.554
2:16:50.12 -5:18:9.082
2:17:7.365 -5:18:2.047
2:18:53.383 -5:17:55.997
2:18:49.27 -5:17:56.078
2:19:10.339 -5:17:44.533
2:18:4.696 -5:16:58.84
2:18:15.914 -5:17:9.639
2:16:27.322 -5:16:49.265
2:17:18.878 -5:16:49.155
2:16:53.474 -5:16:44.484
2:19:11.811 -5:16:37.421
2:17:38.154 -5:16:39.955
2:16:39.558 -5:16:13.797
2:18:22.118 -5:16:3.752
2:17:32.816 -5:15:58.24
2:16:55.886 -5:16:1.388
2:19:9.221 -5:15:47.195
2:18:37.937 -5:15:44.807
2:17:17.158 -5:15:39.323
2:18:58.598 -5:15:33.958
2:17:57.642 -5:15:29.656
2:17:17.32 -5:15:21.082
2:16:32.744 -5:15:7.465
2:19:22.345 -5:15:10.89
2:18:17.355 -5:14:49.36
2:18:28.689 -5:14:47.679
2:16:51.057 -5:14:45.817
2:18:55.728 -5:14:13.434
2:19:32.559 -5:14:0.199
2:16:11.13 -5:14:2.758
2:19:20.297 -5:13:56.718
2:17:44.537 -5:13:32.92
2:16:48.947 -5:13:35.792
2:17:48.294 -5:13:15.176
2:17:46.339 -5:13:18.487
2:17:7.949 -5:13:11.759
2:16:38.754 -5:13:7.217
2:16:57.315 -5:12:56.842
2:16:43.547 -5:12:53.458
2:16:39.534 -5:12:44.259
2:18:38.726 -5:12:3.917
2:18:23.412 -5:12:9.042
2:18:35.601 -5:12:4.343
2:18:41.366 -5:12:3.433
2:16:49.983 -5:11:53.538
2:19:21.912 -5:11:50.722
2:18:36.644 -5:11:44.428
2:17:38.462 -5:11:44.016
2:16:47.068 -5:10:54.429
2:16:19.328 -5:10:55.665
2:17:7.869 -5:10:49.07
2:16:39.773 -5:10:49.263
2:17:29.714 -5:10:36.211
2:16:11.803 -5:10:21.322
2:19:31.565 -5:10:21.885
2:19:6.32 -5:10:18.558
2:18:39.812 -5:10:14.126
2:17:32.072 -5:10:6.633
2:16:31.373 -5:10:4.095
2:17:25.797 -5:10:3.787
2:16:43.836 -5:9:59.054
2:17:41.957 -5:9:59.292
2:18:44.136 -5:9:30.807
2:16:54.295 -5:9:16.416
2:16:44 -5:9:21.241
2:19:8.299 -5:9:22.882
2:18:24.366 -5:9:15.981
2:18:0.549 -5:9:11.741
2:18:6.134 -5:9:16.574
2:16:42.076 -5:9:1.911
2:19:24.85 -5:9:7.381
2:16:35.335 -5:8:53.989
2:17:54.571 -5:9:0.025
2:16:57.216 -5:8:40.028
2:18:15.296 -5:8:39.287
2:19:9.998 -5:8:29.181
2:17:33.843 -5:8:12.739
2:18:49.503 -5:7:56.835
2:18:48.292 -5:7:42.283
2:18:1.263 -5:7:16.203
2:18:10.219 -5:7:9.303
2:16:36.464 -5:7:5.713
2:18:6.575 -5:6:50.153
2:19:2.551 -5:6:54.279
2:18:3.234 -5:6:46.18
2:19:11.056 -5:6:34.503
2:19:10.559 -5:6:33.207
2:16:18.471 -5:6:22.091
2:18:31.31 -5:5:46.979
2:18:46.993 -5:5:20.225
2:19:15.493 -5:5:25.304
2:17:50.986 -5:5:31.952
2:17:18.624 -5:5:21.435
2:17:1.042 -5:5:7.975
2:16:43.887 -5:4:50.003
2:17:42.915 -5:4:23.418
2:18:2.32 -5:3:50.584
2:17:13.538 -5:4:0.422
2:16:49.894 -5:3:44.529
2:16:20.502 -5:3:32.302
2:17:35.899 -5:3:24.932
2:17:7.127 -5:3:6.698
2:16:35.608 -5:2:55.714
2:17:37.814 -5:2:53.717
2:18:24.076 -5:2:33.553
2:16:56.485 -5:2:49.818
2:17:43.145 -5:2:45.858
2:17:6.253 -5:2:39.195
2:17:46.398 -5:2:21.16
2:17:25.837 -5:2:20.178
2:18:0.971 -5:2:15.126
2:18:45.288 -5:2:2.975
2:19:19.426 -5:2:1.358
2:18:4.758 -5:1:55.871
2:17:28.763 -5:2:0.494
2:17:49.182 -5:1:46.597
2:18:28.386 -5:1:34.163
2:17:41.48 -5:1:24.945
2:19:21.365 -5:1:25.869
2:18:22.004 -5:1:20.47
2:17:46.661 -5:1:6.952
2:17:47.368 -5:1:3.212
2:16:58.292 -5:0:55.204
2:18:42.247 -5:0:29.863
2:18:5.284 -5:0:30.618
2:16:58.775 -5:0:31.462
2:18:28.505 -5:0:25.151
2:16:25.251 -5:0:10.4
2:19:0.322 -4:59:58.725
2:17:6.003 -4:59:53.334
2:18:55.752 -4:59:43.914
2:16:28.384 -4:59:47.887
2:17:41.722 -4:59:22.864
2:18:45.721 -4:59:14.29
2:16:37.221 -4:58:52.748
2:16:38.635 -4:58:39.05
2:17:55.096 -4:58:43.209
2:18:28.776 -4:58:36.607
2:18:54.999 -4:58:7.927
2:18:49.122 -4:57:58.887
2:18:42.773 -4:57:55.57
2:16:22.975 -4:57:51.81
2:19:3.56 -4:57:48.998
2:16:32.072 -4:57:45.354
2:18:26.312 -4:57:7.868
2:17:31.608 -4:57:18.685
2:17:48.071 -4:57:19.054
2:17:45.346 -4:56:51.381
2:18:37.738 -4:56:40.787
2:19:16.82 -4:56:38.765
2:16:40.802 -4:56:40.901
2:19:12.078 -4:56:30.357
2:19:24.3 -4:56:20.443
2:19:34.101 -4:55:59.13
2:17:34.56 -4:55:47.934
2:17:54.448 -4:55:32.826
2:18:38.009 -4:55:29.504
2:17:34.881 -4:55:10.687
2:17:36.98 -4:55:10.409
2:18:16.156 -4:55:8.813
2:19:24.193 -4:54:40.201
2:16:5.442 -4:54:43.809
2:19:7.31 -4:54:16.737
2:17:4.848 -4:54:9.156
2:17:43.159 -4:53:33.561
2:17:28.994 -4:53:33.191
2:16:39.235 -4:53:19.965
2:19:6.802 -4:53:24.655
2:16:41.916 -4:53:13.34
2:19:31.99 -4:53:15.576
2:18:51.161 -4:53:13.523
2:17:10.427 -4:53:1.41
2:18:52.284 -4:53:3.723
2:18:57.09 -4:53:1.105
2:17:52.326 -4:52:55.603
2:16:33.96 -4:52:47.452
2:18:1.36 -4:52:39.732
2:18:46.19 -4:52:16.985
2:17:33.356 -4:52:10.99
2:17:15.495 -4:51:59.632
2:17:18.765 -4:51:42.254
2:19:32.478 -4:51:22.49
2:18:58.321 -4:51:15.321
2:16:40.95 -4:50:58.091
2:16:37.094 -4:50:38.855
2:18:59.607 -4:50:42.754
2:16:15.826 -4:49:44.841
2:16:28.15 -4:49:38.677
2:16:29.474 -4:49:41.157
2:19:16.836 -4:49:8.15
2:17:38.863 -4:49:5.629
2:16:24.252 -4:48:47.873
2:19:19.738 -4:48:44.384
2:18:9.466 -4:48:43.048
2:17:31.795 -4:48:19.671
2:18:13.561 -4:48:18.754
2:18:14.2 -4:48:2.551
2:17:12.005 -4:47:58.82
2:17:10.893 -4:47:47.631
2:18:33.4 -4:47:52.042
2:17:27.771 -4:47:47.75
2:17:19.604 -4:47:18.914
2:17:19.56 -4:47:16.135
2:19:23.115 -4:46:59.019
2:16:9.296 -4:46:57.982
2:18:25.747 -4:46:48.334
2:17:55.365 -4:46:30.353
2:17:48.311 -4:46:25.3
2:19:12.52 -4:46:22.097
2:17:13.533 -4:46:20.363
2:17:14.514 -4:46:4.991
2:18:43.72 -4:45:41.086
2:18:43.214 -4:45:37.64
2:16:47.293 -4:45:23.804
2:17:0.814 -4:45:31.8
2:16:9.754 -4:45:31.47
2:19:8.22 -4:45:17.919
2:17:40.81 -4:45:19.648
2:18:3.121 -4:44:31.846
2:16:49.911 -4:44:2.972
2:16:40.737 -4:44:4.865
2:17:21.601 -4:44:1.129
2:18:55.626 -4:43:42.549
2:17:51.058 -4:43:39.277
2:18:12.322 -4:43:36.046
2:18:14.942 -4:43:26.6
2:19:25.303 -4:42:45.113
2:18:19.013 -4:42:40.053
2:17:34.325 -4:42:40.4
2:18:12.234 -4:42:22.905
2:18:10.638 -4:42:24.609
2:18:9.365 -4:42:27.097
2:17:11.524 -4:42:6.047
2:17:55.658 -4:41:27.714
2:17:9.957 -4:41:18.641
2:17:4.819 -4:41:10.308
2:17:58.036 -4:40:48.499
2:17:39.349 -4:40:56.621
